from,to,cost
264,396,20.539
684,296,19.138
340,696,19.063
663,789,17.238
585,36,14.353
330,39,14.042
154,192,11.022
18,833,10.729
344,494,10.337
767,49,9.985
647,154,9.751
10,340,9.636
591,600,8.862
192,52,8.842
525,438,8.827
223,499,8.095
518,98,7.349
235,654,7.281000000000001
240,683,7.196
621,515,6.499
396,352,6.295999999999999
629,390,5.981
414,656,5.859
38,46,5.834
851,280,5.792999999999999
728,281,5.496
638,703,5.313
52,835,5.28
188,229,5.2
763,621,5.17
644,50,5.004
692,243,4.972
575,376,4.843
256,199,4.669
211,433,4.614
876,535,4.595
814,344,4.592
139,1,4.561
49,246,4.502
479,53,4.415
822,138,4.345
348,98,4.337
142,426,4.148
391,576,4.126
60,109,4.113
838,585,4.0760000000000005
655,345,4.065
570,3,4.033
715,281,4.011
734,71,4.009
559,560,3.983
253,845,3.924
449,555,3.909
245,596,3.851
754,587,3.835
461,629,3.822
843,253,3.809
455,225,3.783
457,110,3.772
219,815,3.754
579,651,3.726
749,827,3.699
653,66,3.656
109,514,3.625
481,647,3.622
347,107,3.5610000000000004
650,68,3.427
97,397,3.4210000000000003
833,842,3.388
66,125,3.347
781,222,3.315
787,590,3.312
840,834,3.059
426,691,3.0460000000000003
202,218,2.959
21,531,2.9560000000000004
247,114,2.929
352,529,2.903
384,698,2.903
728,423,2.9
299,657,2.855
418,741,2.841
45,876,2.825
457,464,2.7430000000000003
683,852,2.716
594,371,2.715
227,653,2.674
159,38,2.662
281,864,2.6260000000000003
454,412,2.614
286,579,2.611
631,809,2.591
314,542,2.59
789,860,2.589
542,480,2.575
809,728,2.521
863,591,2.504
255,117,2.484
138,454,2.474
247,605,2.435
881,46,2.414
698,482,2.414
478,410,2.411
46,478,2.41
696,644,2.406
50,759,2.373
861,740,2.37
53,684,2.344
813,814,2.34
173,784,2.336
164,319,2.318
543,275,2.31
432,31,2.279
596,468,2.272
670,194,2.263
664,111,2.252
784,299,2.242
751,738,2.222
793,72,2.219
583,503,2.217
92,878,2.213
836,187,2.205
147,25,2.195
607,139,2.178
254,422,2.166
334,714,2.162
436,563,2.115
528,310,2.114
847,424,2.103
496,521,2.095
544,689,2.093
28,677,2.093
189,539,2.09
794,311,2.089
412,623,2.087
428,803,2.086
121,469,2.077
3,367,2.072
243,428,2.062
420,96,2.06
519,28,2.052
437,334,2.0340000000000003
622,258,2.025
335,754,2.015
531,694,2.01
279,735,2.005
103,158,2.004
272,327,1.999
499,430,1.987
89,85,1.984
601,787,1.968
353,415,1.961
407,247,1.958
483,102,1.945
551,257,1.944
541,820,1.943
616,307,1.94
536,118,1.93
725,405,1.929
273,818,1.912
162,568,1.909
64,492,1.887
218,212,1.885
748,369,1.88
863,792,1.88
185,160,1.879
86,855,1.874
768,132,1.874
535,812,1.871
311,695,1.864
829,741,1.849
80,857,1.842
327,89,1.837
824,543,1.827
879,608,1.821
284,384,1.804
96,185,1.803
529,366,1.7990000000000002
220,136,1.796
599,292,1.789
367,137,1.787
178,407,1.786
365,490,1.783
641,846,1.78
141,358,1.7719999999999998
539,444,1.77
715,624,1.769
228,509,1.767
390,161,1.7619999999999998
310,178,1.76
376,663,1.756
617,461,1.751
22,121,1.751
363,655,1.746
83,355,1.74
827,88,1.7380000000000002
230,725,1.733
782,16,1.722
134,263,1.715
834,162,1.707
107,578,1.699
630,193,1.689
143,336,1.6869999999999998
497,682,1.685
831,618,1.671
19,456,1.665
225,11,1.6569999999999998
587,877,1.655
553,443,1.648
506,822,1.644
301,70,1.643
456,100,1.641
620,501,1.638
562,446,1.631
786,9,1.621
845,668,1.621
233,41,1.6130000000000002
144,847,1.609
442,776,1.608
115,183,1.607
193,80,1.607
17,141,1.606
39,359,1.606
595,625,1.604
477,498,1.596
161,271,1.594
341,844,1.594
629,262,1.591
130,113,1.588
379,693,1.585
618,500,1.574
8,409,1.571
377,686,1.57
634,559,1.569
719,865,1.568
563,795,1.554
815,713,1.5519999999999998
842,143,1.548
561,249,1.537
422,219,1.524
322,440,1.521
716,163,1.513
578,8,1.507
378,481,1.505
214,264,1.5
695,7,1.495
55,206,1.492
588,612,1.492
776,338,1.4880000000000002
774,595,1.4880000000000002
239,805,1.487
546,348,1.486
351,93,1.483
522,201,1.476
430,866,1.475
374,40,1.471
205,388,1.466
198,378,1.465
168,832,1.456
459,804,1.454
828,715,1.449
343,707,1.4480000000000002
101,273,1.445
136,286,1.444
487,825,1.433
609,169,1.429
145,557,1.4280000000000002
315,800,1.4169999999999998
434,305,1.413
666,769,1.413
524,599,1.412
132,646,1.406
691,551,1.394
733,594,1.393
532,450,1.391
16,139,1.389
201,613,1.3769999999999998
87,314,1.376
440,51,1.3730000000000002
512,435,1.3730000000000002
741,678,1.37
826,60,1.365
586,627,1.359
48,507,1.354
126,720,1.348
113,777,1.347
216,170,1.341
772,171,1.3330000000000002
452,597,1.314
811,142,1.311
99,287,1.31
795,495,1.31
402,616,1.3090000000000002
160,331,1.3030000000000002
490,277,1.3
175,205,1.295
153,300,1.294
469,828,1.288
839,189,1.287
5,541,1.276
472,104,1.27
102,519,1.253
608,21,1.242
704,536,1.24
874,83,1.238
93,636,1.238
848,460,1.237
554,377,1.236
598,363,1.235
117,103,1.235
523,35,1.235
73,488,1.235
323,279,1.234
805,549,1.229
860,716,1.228
337,540,1.227
298,661,1.224
564,637,1.223
711,260,1.222
13,39,1.212
395,208,1.21
435,489,1.21
326,826,1.207
419,370,1.205
318,73,1.202
14,487,1.198
427,502,1.19
800,29,1.187
837,421,1.186
194,75,1.185
415,534,1.182
51,153,1.172
858,441,1.164
6,146,1.16
672,306,1.16
4,547,1.16
148,214,1.16
204,288,1.159
306,144,1.154
268,817,1.15
75,752,1.143
662,116,1.139
871,763,1.134
36,278,1.133
538,824,1.132
404,719,1.13
804,168,1.128
675,451,1.127
632,38,1.127
771,630,1.126
287,672,1.125
745,313,1.125
464,742,1.121
281,357,1.112
720,783,1.108
610,147,1.093
63,135,1.091
504,47,1.088
110,404,1.083
250,729,1.077
569,387,1.064
623,261,1.064
671,588,1.055
642,504,1.053
862,749,1.048
325,610,1.046
163,705,1.04
810,413,1.04
167,332,1.039
256,639,1.036
736,32,1.034
658,439,1.033
604,251,1.032
389,577,1.032
573,152,1.031
646,216,1.031
386,723,1.03
571,197,1.029
661,182,1.028
208,256,1.023
210,862,1.023
448,638,1.022
191,250,1.016
265,365,1.012
169,758,1.011
199,82,1.006
67,747,1.003
773,772,0.999
806,399,0.997
71,437,0.996
232,785,0.995
380,882,0.993
625,524,0.986
516,448,0.978
602,90,0.978
724,133,0.977
639,97,0.976
652,712,0.973
238,580,0.972
534,538,0.972
133,62,0.972
70,849,0.968
645,756,0.966
635,155,0.966
667,664,0.965
552,602,0.965
241,813,0.963
866,293,0.962
0,475,0.962
730,285,0.962
665,553,0.96
54,465,0.96
47,86,0.959
484,617,0.959
526,574,0.955
429,819,0.952
760,459,0.948
676,174,0.947
308,2,0.946
213,603,0.941
681,615,0.941
361,864,0.936
342,806,0.935
702,643,0.934
200,442,0.933
56,425,0.933
329,360,0.93
606,368,0.929
753,665,0.927
770,702,0.926
447,37,0.925
165,807,0.922
568,739,0.92
106,309,0.914
841,283,0.908
184,880,0.905
171,303,0.901
855,200,0.899
27,458,0.898
408,295,0.897
351,112,0.895
320,589,0.894
718,775,0.894
515,330,0.889
59,667,0.889
762,722,0.889
196,673,0.885
581,391,0.884
869,374,0.884
473,6,0.883
370,42,0.883
